RptDt;TckrSymb;ISIN;Asst;BalQty;TradAvrgPric;PricFctr;BalVal
2020-11-20;AURA33;BRAURABDR001;AURA;43605;50,5157181;1;2202737,89
2020-11-20;AZEV3;BRAZEVACNOR0;AZEV;2700;11,0823814;1;29922,43
2020-11-20;AZEV4;BRAZEVACNPR7;AZEV;15044;3,8357026;1;57704,31
2020-11-20;AZUL4;BRAZULACNPR4;AZUL;15833721;30,3285806;1;480214284,79
2020-11-20;B3SA3;BRB3SAACNOR6;B3SA;20427174;54,6292191;1;1115920565,11
2020-11-20;BABA34;BRBABABDR005;BABA;43803;51,8896744;1;2272923,41
2020-11-20;BAHI3;BRBAHIACNOR1;BAHI;101;84,4859405;1;8533,08
2020-11-20;BAUH4;BRBAUHACNPR3;BAUH;201;85,0572139;1;17096,5
2020-11-20;BAZA3;BRBAZAACNOR0;BAZA;13;38,91;1;505,83
2020-11-20;BBAS3;BRBBASACNOR3;BBAS;27211811;32,6664458;1;888913150,55
2020-11-20;BBDC3;BRBBDCACNOR1;BBDC;13634815;20,0111666;1;272848555,62
